Actors,Expertise/Interests,Doctorate/ Highest degree,Organization,Department,College/ School,Award Number,Title,Abstract,Project Keywords (Survey),Project Categories,Corrected Tags,MappedExpertise,ExpertiseCategories,CleanedDepartment
Qi Wang,"Autobiographical memory, social cognition, culture, internet and social media",,Gallaudet University,"Psycology, College of Human Ecology",,2118824,Collaborative Research:  Advancing STEM Online Learning by Augmenting Accessibility with Explanatory Captions and AI,"Videos are a popular medium for online learning, in which captions are essential for increasing accessibility to students for effective learning. This research identifies two types of video captions: typical closed captions and explanatory captions. Closed captions are a text representation of the spoken part of a video. Explanatory captions are created to give students insights into the visual, textual, and audio content of a video. Existing technologies have focused on automatically generating or improving the quality of closed captions. For STEM learning, explanatory captions have the potential to play a new role in learning. This project will work to devise effective Q/A mechanisms and effective interaction designs that enable students and instructors to generate explanatory captions for STEM videos in a collaborative manner. The proposed technologies will augment accessibility and learning experiences for under-served populations, including the Deaf and Hard-of-Hearing (DHH) community, made up of 48 million Americans, while also improving comprehension for non-native English speakers, even those without hearing impairments. Evaluation sites include both Gallaudet University, the world’s only liberal arts university dedicated exclusively to educating DHH learners, and the University of Illinois at Urbana-Champaign, which has the largest international student population amongst U.S. public institutions and supports students with disabilities in inclusive learning environments. <br/><br/>This interdisciplinary research draws from and contributes to both computer science and learning science, and accessibility practices in the following areas. The first step is discovering new knowledge about how accessibility-enabled videos (with explanatory and closed captions) broaden the participation of under-served populations in STEM learning. This will provide the foundation for developing a theory of how explanatory captions can contribute to learning and effective mechanisms, based on crowdsourced human contributions and machine learning algorithms, to create these explanatory captions for STEM videos at different learning stages (e.g., preparing, tracking, trouble-shooting, and reflecting). The investigators will then use the theory to create a novel chatbot that enables knowledge sharing for students with diverse backgrounds.  Theoretical frameworks--ICAP (interactive, constructive, active, and passive) and Community of Inquiry will guide the evaluation of how explanatory captions and chatbots can contribute to learning. Finally, the team will acquire empirical understanding of how augmented accessibility with AI agents (e.g., chatbots) impacts students' and instructors’ practices.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Natural language processing and speech technologies; Accessibility and technology; Online learning; HCI,,"Online learning, Accessibility and technology, Machine learning, AI, Media use","Social welfare development and responsibility,Brain function,Collaborative and/or participatory learning,Cognitive psychology / Cognitive science,Cultural competence/responsiveness","Learning Processes and Theories,Equity and Social Justice,Other Disciplinary Areas",Psychology
Rhonda Christensen,"Technology integration, Research, Mobile learning, simulated techning, STEM",,University of North Texas,Learning technologies,,2118849,Improving Student Learning While Decreasing Bias in Teaching Through Simulation,"This project aims to contribute to a more just and equitable society in the future by encouraging teachers to identify, reflect on, and correct revealed biases. This three-year project will implement a scalable model for developing equitable, culturally responsive teaching practices through a simulated teaching environment. The project will identify best practices to help teachers recognize and mitigate implicit biases that often impact student success. Bias reduction in teaching practices is crucial for enabling future leaders to achieve their highest innate and positively nurtured potential. The COVID-19 pandemic has highlighted disparities in learning and emphasized the importance of socio-emotional stability for the long-term well-being of students and teachers. <br/><br/>The project team will iteratively develop and test a Teaching without Bias curriculum and add an AI-driven set of bias reduction tools to existing simulation instruction modules. The project will use data-driven decisions to confirm the feasibility of a three-phase approach to reducing bias in teaching. Through a randomized-assignment experimental design, the project will also confirm whether any of the three phases alone, in sequence, or in combination, is most effective. Through a simulated teaching environment, the project outcomes will lead to a model for developing equitable, culturally responsive teaching practices. The project will use the simulated teaching environment to develop and refine computational models that lead to improved teaching practices and contribute to the learning sciences.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.","Multimodal data analysis; Cultural competence/responsiveness; Self-regulation, reflection, and metacognition",,"Modeling and simulation (including agent-based modeling), Cultural competence/responsiveness, Bias and equity in AI, Data mining","Narrative and simulated environments,Science education,Math education,Engineering education,Software engineering,Mobile learning","Learning Processes and Theories,Disciplinary Areas,Other Disciplinary Areas,Learning Environments and Platforms",Learning Technology
Ross Higashi,"Research-design-development and testing of curriculum, products, platforms for K-12 robotics education, Deliver professional development to formal and informal educators",,Carnegie-Mellon University,Robotics academy,,2118883,Using AI to Focus Teacher-Student Troubleshooting in Classroom Robotics,"Maintaining effective instructional interactions between teachers and students around content is challenging, especially in open-ended problem-solving domains such as computer programming. Troubleshooting student programs at the classroom scale becomes difficult, even more so in remote or hybrid instructional contexts. Yet an instructor’s adaptability, insight, rapport with students, and leadership role in the classroom remain indispensable. This project will explore the use of Machine Learning (ML) algorithms to offload the time-consuming tasks of finding and deciphering student errors while also focusing teacher-student troubleshooting interactions around algorithmically identified episodic ""clips"" of student work-in-progress. This approach differs from the current state of the art in that it neither replaces nor simply informs the teacher, but instead convenes students and instructors around instructionally rich portions of the students’ own code and output. Design, development, and refinement of a prototype Convening AI system for middle school robotics programming will directly impact more than a dozen educators and 2000 of their students, including several schools serving underrepresented minority populations. It will also produce generalizable know-how about the design of Convening AI systems for other educational domains and ultimately inform future directions for the design of human-AI systems.<br/><br/>This project will address the technical and sociotechnical integration challenges of an AI-driven convener through design-based research by developing a proof-of-concept Formative Assessment Suggestion Tool (FAST) in the context of middle school robotics programming. FAST will compare the efficacy of different probabilistic and neural network-based self-supervised learning approaches in identifying a student’s intended solution from their source code and simulated robot run telemetry, e.g., by comparing the plan generated by a student with that by an optimal planner. It then uses a rollback planner to identify the point at which the student’s current implementation no longer has a likely path to that solution, such that this point can be expressed to the teacher. FAST’s ML models are initially trained on an archival data set of 35,000 student code submissions to isomorphic robot programming scenarios. Each source file is re-simulated in an instrumented environment to reconstruct position, collision, and other information. Additional data including longitudinal student code-writing behavior will be collected using instrumentation upgrades developed and deployed to the simulator curriculum’s active user base during the project. Data from classroom observation will be used to model and monitor proportions of time spent engaged in different instructional actions with and without the tool. User experience around convening will be refined through participatory co-design with teachers and students. Structural equation modeling will be used to test a theory of action around uptake of the tool into classroom practice: faster, more accurate troubleshooting increases student learning and engagement as well as teacher satisfaction, leading to acceptance and continued use of the technology in a virtuous cycle.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Machine learning; Robots; Formative assessment; Design-based research (DBR),,"Cyber-enhanced/Computer-assisted assessments, Design-based research (DBR), Modeling and simulation (including agent-based modeling), Machine learning, AI, Robots","Instructional Design,Educator professional learning,Computational thinking,MOOCs,Robotics Education","Disciplinary Areas,Capacity Building,Learning Environments and Platforms",Computer Science
Cristina Heffernan,"Artificial Intelligence, Educational Data Mining, User Modeling, Intelligent Tutoring Systems, cognition of mathematics learning",,"ASSISTMENTS FOUNDATION, INC.","ASSISTMENTS FOUNDATION, INC.",,2118904,Collaborative Research: Common Error Diagnostics and Support in Short-answer Math Questions,"One important way to help struggling students improve in math is to deliver personalized support that addresses their specific weaknesses. Many math questions have common wrong answers (CWAs) that correspond to specific errors students make during their answering process, caused by misconceptions or a general lack of knowledge on certain math skills. To date, CWA identification and support remains a labor-intensive process at a limited scale because it requires significant effort by teachers and/or domain experts. In this project, the investigators will develop artificial intelligence (AI)-based mechanisms that can automatically identify CWAs from students’ answers to short-answer math questions and diagnose errors. Once these errors are identified, the investigators will enlist the help of teachers to design feedback and support mechanisms in various formats such as textual feedback messages and short videos. In turn, the investigators will integrate these diagnosis and effective support mechanisms into a teacher interface to support them in either classrooms or online learning environments. Overall, this project has the potential to lead to i) better understanding of CWAs in math questions and the underlying errors and ii) effective CWA support mechanisms for each error type. The project will be grounded in ASSISTments, a free web-based learning platform, therefore directly benefiting the 500,000 US students and 20,000 teachers using it and potentially an even larger number of students and teachers through the dissemination of research findings.<br/> <br/>This project consists of four main research activities. First, the investigators will leverage math expression embedding methods to learn the representations of student errors by clustering CWAs across multiple questions in the latent math expression embedding vector space. These learned representations will enable the automated diagnosis of student errors in real time. Second, the investigators will develop new knowledge tracing algorithms that go beyond typical correctness analysis and analyze the full answer each student submits to each question. These algorithms will enable the automated tracking of students’ progress in correcting their errors. Third, the investigators will crowdsource multiple types of student support from teachers and integrate both student error diagnostics and support mechanisms into the existing ASSISTments teacher interface. This interface will provide feedback to teachers on which students are struggling in real time and recommend a support, which the teacher can either adopt and customize or reject and create their own support instead. Fourth, the investigators will conduct a randomized controlled trial to evaluate the effectiveness of each support mechanism in helping students correct their errors. This experiment will identify which support mechanisms are most effective at helping students correct each error type and improving learning outcomes.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Online learning, Cyber-enhanced/Computer-assisted assessments, Formative assessment, AI, Math education","HCI,AI,Data mining,Math education,Cognitive psychology / Cognitive science,Adaptive/Personalized learning and intelligent tutors","Analytics,Research Methods,Learning Processes and Theories,Disciplinary Areas,AI Approaches and Technologies",Learning Technology
Nikolas Martelaro,"Accessibility, Tools, user experience Design (UX), Artificial Intelligence (AI), Context aware computing, Conversational UI (Voice), Design Research, Internet of Things (IoT), Human-Robot Interactions (HRI), Interaction design, Interaction with autonomous systems, Design tools, Mechatronice",,Carnegie-Mellon University,Human Computer Interaction Institute,,2118924,Supporting Designers in Learning to Co-create with AI for Complex Computational Design Tasks,"As modern design tasks grow increasingly challenging, artificially intelligent (AI) design tools have the potential to provide new support to designers and engineers. This project will work to enable a future of computational co-creation, in which humans and AI collaborate and learn from each other to create new designs. The project addresses a vital national need: to prepare the emerging workforce in design, engineering, and manufacturing to better solve the complex problems of today by collaborating with AI design tools. In practice, co-creation with AI presents a significant learning curve for designers. The research team will study how people learn to collaborate with AI on real-world design tasks. The team will continuously build and test new ways for AI and designers to learn and interact through conversational and graphical interfaces. Success in this project is expected to advance our understanding of how people learn to collaborate with AI on complex computational co-creation tasks. This project is expected to lead to new training techniques and software design guidelines for AI-enabled design tools and other human-AI co-creative tasks. The research team will share their new interface designs and strategies to support other researchers in studying human-AI co-creation and to support companies in developing new AI-enabled design tools. The team will also incorporate the developed tools and research knowledge into classes for university and high school students, introducing them to human-AI collaboration and preparing them to work with and develop such systems in the future.<br/><br/>The research team will conduct iterative, human-centered design research to advance our understanding of how people learn to collaborate with AI on complex design tasks, while using widely available AI design tools, in the context of designing actively transforming structures. This is a complex, emerging manufacturing task. Steps in the research include: (1) Conduct a series of think-aloud activities to investigate how designers (try to) learn to collaborate with currently available AI design tools. The findings from these activities are expected to provide understandings of current challenges in human-AI design collaboration and will surface the strategies and mental models that people use when learning to collaborate with AI. (2) Prototype novel interface features to advance human–AI co-creation and learning. These will include a range of interactions and interface modalities, building upon theories of effective conversational exchange and supporting controlling actions, delegating actions, and negotiating goals and means. (3) Evaluate these interfaces and interactions to see how well they support designers in learning to interact and productively work with the AI. (4) Use a mix of conversation analysis and multimodal observations to understand how the interface prototypes influence human-AI co-creation. The research is expected to produce new approaches to help researchers study and design human-AI co-creation, including: (a) measures for assessing learning and collaboration in the context of human-AI co-creative tasks; (b) prototyping methods for human-AI collaborative systems; (c) interaction design guidelines for onboarding and supporting designers in human-AI co-creation; and (d) new theory about how conversational interfaces can support designers in learning to co-create with AI.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",AI; Collaborative and/or participatory learning; Design-based research (DBR); HCI,,"Engineering education, AI, Natural language processing and speech technologies, Multimodal data analysis","Learning analytics,HCI,Wearable / physiological technology,Accessibility and technology,AI,Pedagogical agents,Design Research,Human-AI Interaction,Manufacturing,Autonomous technology","Analytics,Learning Environments and Platforms,Other Disciplinary Areas,Research Methods,Equity and Social Justice,AI Approaches and Technologies","Computer Science, Human-Computer Interaction"
Joshua Sunshine,"collaboration and teams, computational statistics, computer architecture, diagrams and visualization, data mining and analysis, embedded systems, human-computer interaction, networking, privacy, program synthesis, program repair, programming languages, security, software architecture, societal computing, software requirements, software testing.",,Carnegie-Mellon University,Computer Science,,2119007,Enhancing flexible STEM thinking by generating interactive diagrams at scale,"Math and science diagrams improve learning, both when diagrams are delivered with instruction, and when they are created for self-explanation. The resulting learning is often more flexible. For example, students that practice diagramming are better at transferring their learning from the problems they have explicitly practiced to more open-ended problems. Unfortunately, diagrams are too uncommon in instructional materials, especially practice problems. This is primarily because diagrams are much harder to produce than text and symbols. Teaching at scale adds further challenges. Ideally, e-learning platforms should deliver different problems to different students. These problems should be tailored to knowledge components, prevent cheating by copying, and be tuned the amount of practice to student needs. Problem templating systems aren’t built for diagrams and grading student-authored diagrams is hard to do even manually.  To address the challenge, this project aims to develop a new tool for generating diagrammatic instructional content. <br/><br/>This tool developed by the project will enable content authors to generate large problem sets by example. User will author one or two problems and the tool will synthesize a problem set from the examples. The project introduces efficient interaction techniques for viewing and editing these sets. The project will collect data from teachers and students to guide, refine, and evaluate the design of the tool. The project will conduct six studies, three will focus on the effectiveness of the tool in supporting authoring of educational content and three that focus on the impact of the resulting problems on student learning. These studies will enhance our understanding of when and how diagrams can be used to increase student understanding of science, technology, engineering and math (STEM) principles and lead to more flexible STEM thinking.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Other, AI, AI knowledge representation and reasoning","Learning analytics,Social welfare development and responsibility,Programming,HCI,Ethical AI,Machine learning,Data mining,Software engineering,Data visualization representations and dashboards,Computing technology,Computing technology,Software engineering","Research Methods,Analytics,Other Disciplinary Areas,AI Approaches and Technologies",Computer Science
Sang Won Lee,"CSCW, Human Computer Interaction, Computer Music, Live Coding",,Virginia Polytechnic Institute and State University,Computer Science,,2119011,"RETTL: Facilitating socially constructed learning through a shared, mobile-based virtual reality platform in informal learning settings","Virtual reality (VR) technologies have great potential in STEM education because they provide immersive learning experiences that one cannot have in the real world. However, interactivity using VR head-mounted displays is often a solitary experience, isolating learners from the social and learning context. This makes it challenging to learn through collaborations with peers and instructors. Furthermore, many learners are excluded from using virtual reality headsets, including children, those who wear glasses, and those vulnerable to health concerns such as motion sickness, nausea, and falling. The project will develop and deploy a mobile-device-based VR platform to enable social learning. The project partners with the Science Museum of Western Virginia and the Institute of Creativity, Arts, and Technology at Virginia Tech to support socially constructed, informal STEM learning for their wide range of visitors, including young children with family members, college students, and local K-12 school students. <br/><br/>The project's overarching objective is to design, develop, and deploy an inclusive, socially connected virtual reality platform and educational content. With the system, museum attendees can collectively interact with STEM topics in virtual reality. The system will use social virtual reality to allow multiple learners to engage with the learning material, the instructor, and one another via and beyond motion-tracked mobile devices. A shared physical space with the mobile-based virtual reality platform will grant a diverse range of learners access to immersive STEM learning content and their peers beyond the screen. The researchers will study how the shared display technology facilitates socially constructed learning and enables novel active learning techniques in informal learning settings. The results will advance understanding of integrating virtual reality into inclusive settings and promoting collaborative learning with VR to enhance learning outcomes.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Augmented/virtual/mixed reality, Collaborative and/or participatory learning, Social emotional learning","Collaborative and/or participatory learning,Programming,HCI,Creativity","Research Methods,Learning Processes and Theories,Other Disciplinary Areas",Computer Science
Mark Riedl,"Artificial Intelligence, Machine learning Storytelling, Explainable AI, Safe AI",,Georgia Tech Research Corporation,College of Computing,,2119135,Exploring Artificial Intelligence-enhanced Electronic Design Process Logs: Empowering High School Engineering Teachers,"The Engineering Design Process (EDP) is a general theoretical framework often used for teaching engineering, STEM, invention, and even science, particularly in K-12 education. While most EDPs used in education are depicted as linear or circular, true design processes are highly creative, non-linear, and often involve ill-posed problem statements and solution criteria.  These traits make it particularly difficult for high school engineering teachers, who tend to skip over key elements of human-centered design, where an engineer takes time to understand the problem through research, interviews, prior literature searches, market analysis, and brainstorming—the steps where diversity of thought and experience are of the most value. In addition, it can be hard to provide students with real-time feedback due to the asynchronous nature of group work and large class sizes, and students may not feel comfortable asking for feedback on incomplete work. This project will develop and pilot an artificial intelligence (AI) enhanced Engineering Design Process Log to help students navigate the design process, provide real-time feedback, and encourage meaningful documentation of each step of the process.  This project does not propose to replace teachers with AI; rather, the project will explore a novel approach in which AI systems assist teachers in the creation of instructional modules that adhere to EDP best practices. This project is a collaboration between researchers at Georgia Tech’s College of Computing (GT CoC) and researchers at Georgia Tech’s Center for Education Integrating Science, Mathematics and Computing (CEISMC).  <br/> <br/>This project is a teaching-focused technological innovation, representing an early exploration into AI-enhanced design pedagogy. Specifically, the project will: 1) Improve upon an existing web-based Engineering Design Process Log (EDPL) by engaging in teacher user studies, 2) Design, pilot, and implement an AI-based authoring and tutoring system for teachers to customize feedback for students and for specific projects with domain expertise, 3) Design and provide professional development opportunities for alpha and beta testing teachers, and 4) Assess the impact of an AI-based EDP Log (AI-EDPL) on engineering design pedagogy and classroom practice. The AI-EDPL software system will use concepts initially pioneered for intelligent tutoring systems, but applied to scaffolding the creation of custom, teacher-made instructional materials that adhere to best practices in design process pedagogy assessment. Unlike many other educational domains, engineering design problems vary widely in scope and solution pathways, which means there will not be a one-size-fits-all tutoring system that can provide feedback to students. This project will examine (a) whether artificial intelligence can support and scaffold teachers in the creation of the necessary models and knowledge structures needed to scaffold and support learners, and, (b) what professional development teachers need to be successful in developing these models. A multi-phased approach will be used, using value-sensitive design processes from the field of human computer interaction to develop minimalist functional systems that can be tested with teachers in classrooms. In order for AI to help teachers, who do not have a lot of time to tinker with software, they must be able to express their intentions in natural language, which must be automatically converted into functional approximations of the task models that can be easily edited. This project will build on best practices in design theory and pedagogy, design documentation, design instruction, design assessment, and AI tutoring to create a one-of-a-kind technology suitable for engineering design instruction at the high school level. It represents a first attempt at providing real-time feedback in a computational setting for an open-ended design challenge, and it does so without marginalizing or diminishing the role of the instructor in the engineering classroom.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",AI; AI knowledge representation and reasoning,,"Other, User-centered design, Adaptive/Personalized learning and intelligent tutors, AI","Ethical AI,Machine learning,AI,Bias and equity in AI","Other Disciplinary Areas,AI Approaches and Technologies",Computer Science
Jennifer Cross,"Human-robot interaction with a focus on educational applications of robotics, Development of novel robotics platforms and programming interfaces for K-12 and undergraduate education, Diversity and accessibility in robotics, engineering education, computer science education, Teacher and student empowerment, technological fluency, computational thinking, Mixed-methods evaluation of educational robotics interventions",,Tufts University,Center for Engineering education and ourtreach,,2119174,Integrating Artificial Intelligence with Smart Engineering and English Language Arts in Upper Elementary Education,"This project will develop upper elementary school students’ abilities to work with Artificial intelligence (AI) in future careers. AI will be a critical tool for influencing and increasing productivity in the future of work. As such, it is increasingly important to introduce K-12 students to basic AI knowledge and skills, build familiarity with AI technologies, and train students to be competitive in the workforce. Through this project, a team of robotics and education researchers at Tufts University in Massachusetts and Maryville University in St. Louis, MO will work with over 50 teachers in St. Louis County to develop a research-informed educational ecosystem bringing AI concepts to upper elementary school students. This ecosystem will include a novel, low-cost, AI-enabled hardware toolset, including components such as sensors, actuators, and a microcontroller, for students to build smart systems, as well as support for teacher professional development. Through after-school and summer programs, the project will engage over 1000 St. Louis County students in constructing functional AI-enabled solutions to problems presented in fictional stories that the students read in English language arts and summer reading programs. The goal of the approach is to encourage transdisciplinary learning at the intersection of AI, engineering, and literacy. The education program testing will include 12 teachers and 500 students from the upper elementary target audience, with other participants in pilot testing across the K-12 grade band. The project aims to generate a new model for introducing vital AI concepts to elementary students that reduces barriers to integrating computational thinking into school curricula and provides tangible, trainable representations of AI for students to explore.<br/><br/>Researchers will investigate three primary research questions: 1) How does the introduction of tangible artificial intelligence elements lead to changes in upper elementary students’ understanding of artificial intelligence concepts and attitudes towards artificial intelligence? 2) How do different levels of complexity and variety of tangible artificial intelligence learning tools impact students' engagement and the diversity of their solutions and designs? 3) What are the potential benefits and challenges of introducing tangible artificial intelligence elements in integrated engineering and literacy activities? The project team will apply a design-based research (DBR) approach to jointly generate interdisciplinary education and learning sciences theory alongside iteratively designing and developing the toolset, professional development, and activities. The research will include interviews and surveys with AI professionals to develop and validate grade-appropriate measures of students’ understanding of AI concepts and attitudes. The team will evaluate the research questions with a mixed-methods analytic approach, triangulating qualitative data from teacher interviews, lesson and professional development observations, student-made artifact analysis, and artifact-based student interviews with quantitative data from teacher and student surveys. The project’s contribution will shift the artificial intelligence education paradigm towards a convergent curriculum and away from the status quo of coding and computing requiring separate instruction. The project findings will help inform the field about challenges specific to AI education in upper elementary grades. The deliverables from this project will include the AI Animated Inventions (AI2) hardware toolset, a teacher professional development model, a gallery of example activities and student work, and measures of the program’s effectiveness, as well as the usability and utility of the tangible artificial intelligence elements for learning AI concepts.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Design-based research (DBR), Modeling and simulation (including agent-based modeling), AI","Broadening participation of historically marginalized groups,Robots,Workforce development,Mixed Methods,Broadening participation of historically marginalized groups,Robots,Human-AI Interaction","Learning Environments and Platforms,Capacity Building,Research Methods,Equity and Social Justice,AI Approaches and Technologies","Engineering, Education, Outreach"
Emily Moore,"Science Education, Accessibility, Inclusion, Education Technology",,University of Colorado at Boulder,Physics,,2119303,Inclusively-designing sensory extensions for STEM inquiry learning,"This project investigates innovative sensory extension device technologies to create learning materials that are accessible and enable diverse learners to use multiple modalities in science and mathematics learning. The new technologies will be designed, crafted, customized, and personalized by STEM learners with diverse needs. Humans think and communicate using multiple sensory modalities, including sight, sound, gesture, movement, and touch. Most science and mathematics learning materials convey information visually, with displays such as diagrams and simulations, resulting in learning experiences with limited sensory engagement. For many learners with visual or print-related disabilities, visual learning materials are inaccessible. Even for others, these materials constrain learning opportunities. Sensory extension incorporates materials and devices to enable new or enhanced perceptions of real or virtual environments. Familiar sensory extension devices include eyeglasses (refractive lenses improve vision), and Geiger counters (auditory perception of radioactive decay). In an inclusive co-design process, the project team will partner with diverse members of the learning community, together co-designing flexible, adaptive, and personalizable technologies, which enable new sensory experiences (e.g., sound, gesture, movement, and touch) to augment popular and widely used interactive simulation learning tools. The project team brings together experts in educational technologies at the University of Colorado Boulder (PhET Interactive Simulations and the Craft Tech Lab) and partner organizations serving youth with learning disabilities and visual impairments.<br/><br/>This project will work to create new learning materials, practices and processes for inclusive design with youth, as well as theories and frameworks for the use of sensory extension technologies as learning resources. To accomplish this, the team will investigate (1) pedagogical and design practices within inclusive inquiry learning in STEM learning settings; (2) the co-design and evolution of sensory extension devices; (3) learners’ experiences of the impact of the inclusive design process on their own perceptions of self-efficacy and STEM; and (4) the learning experience of youth with diverse needs using sensory extension devices for STEM inquiry. The sensory extension devices are expected to enable new forms of collaboration among learners with differing sensory needs, and couple with existing educational technologies to expand their inclusive and accessible use and enrich the learning experience for all users. A rich corpus of data will be collected, tracking the trajectory of each design, including video and audio recordings of co-design sessions and the sensory extension devices in use, photographs of design artifacts and group activities, co-designer reflections and interviews, and self-efficacy survey responses. Through the inclusive co-design process, the project will work to advance foundational understanding of egalitarian processes of educational technology development, embrace sensory diversity, and empower educationally marginalized learners through the creation, customization, and personalization of their own innovative learning tools.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Inclusive/universal design; Wearable / physiological technology; Multimodal communication; Makers / making,,"Inquiry learning (e.g.,project/problem based learning), Accessibility and technology, Modeling and simulation (including agent-based modeling), Inclusive/universal design, Data visualization,representations and dashboards","Science education,Inclusive/universal design,Accessibility and technology","Equity and Social Justice,Disciplinary Areas",Physics
Vincent Aleven,"Learning science and technologies, intelligent tutoring systems, educational games",,Carnegie-Mellon University,Human Computer Interaction Institute,,2119501,Supporting collaborative reflection by K-12 teachers with analytics from intelligent tutoring software,"One way K-12 teachers engage in lifelong professional learning is by reflecting on their own practices, for example by reviewing video recordings from their class sessions. Past research shows that reflection has powerful effects on teachers’ classroom practice. A separate line of past research shows that students learn very well with AI-based intelligent tutoring software (ITS), for example, in middle-school and high-school mathematics, and that teachers' support contributes to this effect. It is likely that teachers could help students more effectively if they were to periodically reflect on their classroom practices with regard to this type of software. Yet effective reflection is hampered by the fact that it is nearly impossible for teachers to notice and remember all that happens during any given classroom period. A well-designed tool that presents analytics extracted from class sessions could be a great help. The current research therefore investigates how to design an analytics tool that can support K-12 teachers in reflecting collaboratively with trusted colleagues on their classroom practices around students’ work with intelligent tutoring systems (ITS). The project will build an innovative tool that allows computers to automatically collect and analyze multiple sources of data (i.e., multimodal analytics). The tool will prompt reflection and inform discussion among teachers, for example about their students’ learning progress or challenges, and about their own, possibly implicit, biases towards certain students or groups of students. Through reflection with data, teachers can identify ways to improve their teaching practices, student learning, and equity in their classrooms. The main goal of the project is to design and create such a tool, test whether it supports effective collaborative reflection among teachers, and whether it leads to improved classroom practices. The project will contribute to the broader goal of making analytics useful for teachers. It has the potential to improve a highly effective form of K-12 classroom instruction, namely, learning with ITS, an increasingly common learning environment. <br/><br/>The project will design, create, and pilot-test a new analytics tool for supporting teachers in jointly reflecting on their classroom practices around ITS. The tool will leverage multimodal analytics; it will extract and show trends in students’ learning and teachers’ practices and illustrate them with strategically selected examples from its own data store, recorded during ITS sessions. The tool will take advantage of (1) location data, collected with sensors placed in classrooms, to reveal patterns in teachers’ movement in the classroom, (2) physiological data, collected with physiological wristbands worn by teachers, to reveal ways in which their stress level affects students, (3) log data detailing students’ interactions with the tutoring system, analyzed to detect progress, struggles, knowledge growth, and learning behaviors, and (4) video data that capture important detail about classroom interactions. The reflection tool will be designed with middle-school teachers. Teachers will be involved in the research start-to-finish to make sure the tool matches their preferences and needs. The design will be guided by a proven model of teacher reflection, adapted for multimodal analytics from sessions with an ITS. The tool will be implemented within CTAT+Tutorshop, a widely-used platform for ITS research and development. Many of the needed analytics already exist within CTAT+Tutorshop, but new ones will be developed as well.  Over time, the tool will be continuously improved and pilot tested. At the end, teachers will test a classroom-ready prototype with their classes.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Multimodal data analysis; Educator professional training; Cognitive psychology / Cognitive science; User-centered design,,"Adaptive/Personalized learning and intelligent tutors, Bias and equity in AI, Learning analytics, Self-regulation,reflection and metacognition, Multimodal data analysis","Adaptive/Personalized learning and intelligent tutors,Games and game making","AI Approaches and Technologies,Learning Environments and Platforms","Computer Science, Human-Computer Interaction"
